Institution,Street,Hamlet,City,City_Code,County,State,Country,Latitude,Longitude
,,,Třeboň,,okres Jindřichův Hradec,Jihočeský kraj,Czechia,N49.00364,E14.77065
,,,Ubolot'e,,Babruysk rajon,Mahilyow voblasts,Belarus,N53.4813,E29.478
,,,Ulm,,Tübingen,Baden-Württemberg,Germany,N48.39841,E9.99155
,,,Valhalla,,Westchester County,New York,United States,N41.07482,W73.77513
,,,Valley Stream,,Nassau County,New York,United States,N40.66427,W73.70846
,,,Vancouver,,,British Columbia,Canada,N49.24966,W123.11934
,,,Varvažov,,Písek District,Jihočeský kraj,Czechia,N49.4389,E14.14259
,,,Veracruz,,,,Mexico,N19.33333,W96.66667
,,,Vienna,,,Vienna Stadt,Austria,N48.20849,E16.37208
,,,Vilnius,,Vilnius City Municipality,Vilnius County,Lithuania,N54.68916,E25.2798
,,,Virginia Beach,,,Virginia,United States,N36.85293,W75.97799
,,,Vištytis,,Vilkaviškis District Municipality,Marijampolė County,Lithuania,N54.45544,E22.71729
,,,Vodňany,,okres Strakonice,Jihočeský kraj,Czechia,N49.14789,E14.17513
,,,Voronezh,,,Voronezh oblast,Russia,N51.66833,E39.19204
,,,Washington,,,District of Columbia,United States,N38.89511,W77.03637
,,,Waterbury,,New Haven County,Connecticut,United States,N41.55824,W73.03613
,,,Waterford,,New London County,Connecticut,United States,N41.34176,W72.13841
,,,Waterloo,,Black Hawk,Iowa,United States,N42.49276,W92.34296
,,,Wayne,,Wayne County,Michigan,United States,N42.32226,W83.17631
,,,West Babylon,,Suffolk County,New York,United States,N40.71816,W73.35429
,,,West Hartford,,Hartford County,Connecticut,United States,N41.76222,W72.73876
,,,West Orange,,Essex County,New Jersey,United States,N40.79871,W74.23904
,,,West Palm Beach,,Palm Beach County,Florida,United States,N26.71534,W80.05337
,,,White Plains,,Westchester County,New York,United States,N41.03399,W73.76291
,,,White,,Indiana County,Pennsylvania,United States,N40.6334,W79.10392
,,,Wilkes-Barre,,Luzerne County,Pennsylvania,United States,N41.24591,W75.88131
,,,Wilmington,,New Castle County,Delaware,United States,N39.74595,W75.54659
,,,Winn,,Winn Parish,Louisiana,United States,N31.94425,W92.63677
,,,Winston-Salem,,Forsyth County,North Carolina,United States,N36.09986,W80.24422
,,,Woodmere,,Nassau County,New York,United States,N40.63205,W73.71263
,,,Yonkers,,Westchester County,New York,United States,N40.9304,W73.89789
,,,Yurovichi,,Kalinkavichy rajon,Homyel voblasts,Belarus,N53.62044,E24.16529
,,,Zaporizhzhia,,Zaporiz'kyj rajon,Zaporizka oblast,Ukraine,N47.85167,E35.11714
,,,Zazim'e,,Brovarskyi raion,Kyivska oblast,Ukraine,N50.56923,E30.67319
,,,Zběšičky,,okres Písek,Jihočeský kraj,Czechia,N49.3925,E14.42647
,,,Zhytomyr,,Zhytomyrskyi raion,Zhytomyrska oblast,Ukraine,N50.25906,E28.66402
,,,Zvěrotice,,okres Tábor,Jihočeský kraj,Czechia,N49.27196,E14.74469
,,,Zvěstov,,okres Benešov,Středočeský kraj,Czechia,N49.63267,E14.79212
,,,Záhoří,,okres Tábor,Jihočeský kraj,Czechia,N49.23959,E14.51349
,,,Čechy,,okres Přerov,Olomoucký kraj,Czechia,N49.42906,E17.53433
,,,Černovice,,okres Pelhřimov,Vysočina kraj,Czechia,N49.37265,E14.96089
,,,České Budějovice,,okres České Budějovice,Jihočeský kraj,Czechia,N48.97447,E14.47434
,,,Čierny Brod,,Galanta district,Trnava region,Slovakia,N48.14731,E17.65319
,,,Łomża,,powiat łomżyński,województwo podlaskie,Poland,N53.17559,E22.07153
,,,Švihov,,okres Klatovy,Plzeňský kraj,Czechia,N49.48136,E13.28417
,,,Žagarė,,Joniškis district Municipality,Šiauliai County,Lithuania,N56.36149,E23.25094
,,Atzgersdorf,Vienna,,48.1512135827711,Vienna Stadt,Austria,N48.15121358277105,E16.294929217347725
,,Belmont,Brooklyn,,Kings County,New York,United States,N40.6501,W73.94958
,,Edler,Boskovice,,okres Blansko,Jihomoravský kraj,Czechia,N49.48751,E16.65997
,,Far Rockaway,Queens,,Queens County,New York,United States,N40.61604,W73.75534
,,Flushing,Queens,,Queens County,New York,United States,N40.77222,W73.81748
,,Glendale,Queens,,Queens County,New York,United States,N40.70322,W73.88726
,,Hollywood Hills,Los Angeles,,Los Angeles County,California,United States,N34.14079,W118.32893
,,Jeníčkova Lhota,Chotoviny,,okres Tábor,Jihočeský kraj,Czechia,N49.457580928497165,E14.715349278509377
,,Josefstadt,Vienna,,,Vienna Stadt,Austria,N48.2105,E16.35124
,,Judengasse 12,Vienna,,,Vienna Stadt,Austria,N48.21169,E16.37397
,,Karalin,Pinsk,,Pinski rajon,Brest voblasts,Belarus,N52.23912053860175,E25.841002350814914
,,Kew Gardens,Queens,,Queens County,New York,United States,N40.70908,W73.83182
,,Khabno,Poliske,,Vyshhorod raion,Kyivska oblast,Ukraine,N51.24141,E29.38618
,,Klein Ponikavica,Brody,,Brodivskyi district,Lvivska oblast,Ukraine,N50.05127360028228,E25.047397002896222
,,Koloděje nad Lužnicí,Týn nad Vltavou,,okres České Budějovice,Jihočeský kraj,Czechia,N49.25167,E14.41938
,,Křtěnov,Týn nad Vltavou,,okres České Budějovice,Jihočeský kraj,Czechia,N49.18513,E14.38169
,,Lažany a Milčice,Blatná,,okres Strakonice,Jihočeský kraj,Czechia,N49.36283419133782,E13.882947381893056
,,Lipniak,Gmina Suwałki,,powiat suwalski,województwo podlaskie,Poland,N54.14675,E23.05275
,,Luka,Tarashchans'kyi hromada,,Bilatsverskyi raion,Kyivska oblast,Ukraine,N49.479372189483264,E30.67377793096127
,,Lutová,Chlum u Třeboně,,okres Jindřichův Hradec,Jihočeský kraj,Czechia,N48.99036,E14.90879
,,Lyantskorun,Zarichanka,,Chemerivtsi raion,Khmelnitskaya oblast,Ukraine,N48.89532,E26.37816
,,Malzgasse 14,Vienna,,,Vienna Stadt,Austria,N48.22039018004335,E16.376688574195953
,,Maspeth,Queens,,Queens County,New York,United States,N40.73223,W73.89224
,,Neznašov,Všemyslice,,okres České Budějovice,Jihočeský kraj,Czechia,N49.23206,E14.37887
,,Northridge,Los Angeles,,Los Angeles County,California,United States,N34.24076,W118.53905
,,Olszanka,Filipow,,powiat suwalski,województwo podlaskie,Poland,N54.18037,E22.62076
,,Ozone Park,Queens,,Queens,New York,United States,N40.67677,W73.84375
,,Panorama City,Los Angeles,,Los Angeles County,California,United States,N34.22813,W118.45013
,,Parkers Landing,Parker,,Armstrong County,Pennsylvania,United States,N41.0959,W79.68255
,,Proseč Obořiště,Nová Cerekev,,okres Pelhřimov,Vysočina kraj,Czechia,N49.40729,E15.12843
,,Prudice,Nemyšl,,okres Tábor,Jihočeský kraj,Czechia,N49.51369,E14.69241
,,Rego Park,Queens,,Queens County,New York,United States,N40.7297,W73.85267
,,Riverdale,Bronx,,Bronx County,New York,United States,N40.90125,W73.9064
,,Rozwadów,Stalowa Wola,,powiat stalowowolski,województwo podkarpackie,Poland,N50.58286,E22.05334
,,Stammersdorf,Vienna,,,Vienna Stadt,Austria,N48.30138888035402,E16.422798832631965
,,Střítež,Černovice,,okres Pelhřimov,Vysočina kraj,Czechia,N49.38663,E14.94289
,,Van Nuys,Los Angeles,,Los Angeles County,California,United States,N34.19036,W118.44944
,,Větrný Jeníkov,Havlíčkův Brod,,okres Jihlava,Vysočina kraj,Czechia,N49.47541086631419,E15.480416636526181
,,Woodland Hills,Los Angeles,,Los Angeles County,California,United States,N34.1746,W118.60531
,,Yekaterinoslav,Dnipro,,Dniprovskyi Raion,Dnipropetrovska oblast,Ukraine,N48.46664,E35.04066
,,Yelysavethrad,Kropyvnytskyi,,Kropyvnytskyi raion,Kirovohradska oblast,Ukraine,N48.50834,E32.26618
,,York,Toronto,,,Ontario,Canada,N43.687708687020596,W79.47127232392828
,,Zlotopol,Novomyrhorod,,Novoukrainka raion,Kirovohradska oblast,Ukraine,N48.81564203643158,E31.648651408716233
,,Červené Záhoří,Chotoviny,,okres Tábor,Jihočeský kraj,Czechia,N49.47215605961637,E14.674988427243761
,,Čichtice,Bavorov,,okres Strakonice,Jihočeský kraj,Czechia,N49.09815,E14.08722
,,Łubowa,Gmina Tarłów,,powiat opatowski,województwo świętokrzyskie,Poland,N50.9370805255876,E21.72133446488957
,1086 East 99th Street,,Cleveland,,Cuyahoga County,Ohio,United States,N41.4995,W81.69541
,121 West 67th Street,,New York,,New York County,New York,United States,N40.77496,W73.98252
,1340 Morris Avenue,,Bronx,,Bronx County,New York,United States,N40.83673301504544,W73.91184830271796
,1465 Townsend Avenue,,Bronx,,Bronx County,New York,United States,N40.84207936797693,W73.91573848132911
,1473 Boston Road,,Bronx,,Bronx County,New York,United States,N40.83514120496487,W73.8951765427056
,1712 Stanhope Street,,Queens,,Queens County,New York,United States,N40.70599403493083,W73.91503536028564
,1885 S W 7th Street,,Miami,,Dade County,Florida,United States,,
,200 West 86th Street,,New York,,New York County,New York,United States,,
,208 West 36th Street,,New York,,New York County,New York,United States,,
,234 Magnolia Road,,Mount Vernon,,Westchester County,New York,United States,,
,24 Blenheim Gardens,Cricklewood,London,,Greater London,,England,,
,240 Mt. Hope Place,,Bronx,,Bronx County,New York,United States,,
,2402 65th Street,,Brooklyn,,Kings County,New York,United States,,
,32 Van Hudsan,,Colonie,,Albany County,New York,United States,,
,3411 Larissa Drive,,Los Angeles,,Los Angeles County,California,United States,,
,407 South 7th Street,,Pekin,,Tazewell,Illinois,United States,,
,438 East 72nd Street,,New York,,New York County,New York,United States,,
,4921 North 18th Street,,Philadelphia,,Philadelphia County,Pennsylvania,United States,,
,578 Hendrix Place,,Brooklyn,,Kings County,New York,United States,,
,591 Bedford Avenue,,Brooklyn,,Kings County,New York,United States,,
,766 Belmont,,Brooklyn,,Kings County,New York,United States,,
,Collage Avenue,,Bronx,,Bronx County,New York,United States,,
,Glenwood Road,,Brooklyn,,Kings County,New York,United States,,
,Hanover Square,,London,,Greater London,,England,N51.5139,W0.14374
,S W 4th Sreet,,Miami,,Dade County,Florida,United States,,
,San Marino Street,,Los Angeles,,Los Angeles County,California,United States,,
,West 143rd Street,,New York,,New York County,New York,United States,,
,no. 1,Červené Záhoří,Chotoviny,,okres Tábor,Jihočeský kraj,Czechia,,
,no. 10,,Budislav,,okres Tábor,Jihočeský kraj,Czechia,,
,no. 100,,Borovany,,okres České Budějovice,Jihočeský kraj,Czechia,,
,no. 106,,Varvažov,,okres Písek,Jihočeský kraj,Czechia,,
,no. 11,,Kolín,,okres Kolín,Středočeský kraj,Czechia,,
,no. 14,,Kasejovice,,okres Plzeň-jih,Plzeňský kraj,Czechia,,
,no. 145,,Černovice,,okres Pelhřimov,Vysočina kraj,Czechia,,
,no. 20,,Loděnice,,okres Loděnice,Středočeský kraj,Czechia,,
,no. 26,,Chotoviny,,okres Tábor,Jihočeský kraj,Czechia,,
,no. 28,Proseč Obořiště,Nová Cerekev,,okres Pelhřimov,Vysočina kraj,Czechia,,
,no. 29,,Neznašov,,okres České Budějovice,Jihočeský kraj,Czechia,,
,no. 5,,Loděnice,,okres Beroun,Středočeský kraj,Czechia,,
,no. 6,,Vodňany,,okres Strakonice,Jihočeský kraj,Czechia,,
,no. 7,Střítež,Černovice,,okres Pelhřimov,Vysočina kraj,Czechia,,
,no. 71,,Vlašim,,okres Benešov,Středočeský kraj,Czechia,,
,no. 73,,Borovany,,okres České Budějovice,Jihočeský kraj,Czechia,,
,no. 74,,Borovany,,okres České Budějovice,Jihočeský kraj,Czechia,,
,no. 8,,Budislav,,okres Tábor,Jihočeský kraj,Czechia,,
,no. 8,Dolní Světlá,Pojbuky,,okres Tábor,Jihočeský kraj,Czechia,,
,no. 85,Rudolfov,České Budějovice,,okres České Budějovice,Jihočeský kraj,Czechia,,
,no. 9,,Kardašova Řečice,,okres Jindřichův Hradec,Jihočeský kraj,Czechia,,
Abbott Northwestern Hospital,,,Minneapolis,,Hennepin County,Minnesota,United States,,
Auschwitz II-Birkenau,,,Gmina Oświęcim,,powiat oświęcimski,województwo małopolskie,Poland,N50.03797159906883,E19.173840997487982
Auschwitz extermination camp,,,Gmina Oświęcim,,powiat oświęcimski,województwo małopolskie,Poland,N50.027625566681714,E19.203649537978183
Baikove cemetery (Байкове кладбище),,,Kyiv,,Holosiivskyi district,Kyivska oblast,Ukraine,N50.41691329931884,E30.511093855175716
Baron Hirsch Cemetery,,,Staten Island,,Richmond County,New York,United States,N40.62098565793656,W74.15297423268433
Bayside Cemetery,,,Queens,,Queens County,New York,United States,N40.67823,W73.85535
Beth El Cemetery,,,Groton,,New London County,Connecticut,United States,N41.37075,W72.07605
Beth Jacob Society Cemetery,,,West Hartford,,Hartford County,Connecticut,United States,N41.72709,W72.72049
Beth-El Cemetery,,,Westwood,,Bergen County,New Jersey,United States,N40.96944,W74.04763
Cedar Park Cemetery,,,Paramus,,Bergen County,New Jersey,United States,N40.96946,W74.04768
Connecticut State Hospital,,,Middletown,,Middlesex County,Connecticut,United States,N41.55834,W72.63237
Cypress Hills Cemetery,,,Queens,,Queens County,New York,United States,N40.69762,W73.87911
Donskoye cemetery (Донское кладбище),,,Moscow,,,,Russia,N55.711835156095056,E37.60412518262065
Eden Memorial Park,,Mission Hills,Los Angeles,,Los Angeles County,California,United States,N34.28011885717683,W118.4678459500462
Ellis Island,,,New York,,New York,New York,United States,N40.69927,W74.03931
English Channel,,,,,,,England,N50.39101,W0.49438
Friedhof Simmering,,,Vienna,,,Vienna Stadt,Austria,N48.17089,E16.42349
Golden Cemetery,,,Golden,,Jefferson County,Colorado,United States,N39.72831344215964,W105.19630601625457
Har HaMenuchot Cemetery,,,Jerusalem,,,Jerusalem District,Israel,N31.79840752595257,E35.17803792578839
Har Nebo Cemetery,,,Philadelphia,,Philadelphia County,Pennsylvania,United States,N40.03858,W75.08716
Harvard Law School,,,Cambridge,,Middlesex County,Massachusetts,United States,N42.37797,W71.11866
Hollywood Forever Cemetery,,,Los Angeles,,Los Angeles County,California,United States,N34.08945,W118.31906
Jewish Cemetery,,,Natchitoches,,Natchitoches Parish,Louisiana,United States,N31.76643,W93.09517
Kapustyanoe Cemetery (Капустяне кладовище),,,Zaporizhzhia,,Zaporiz'kyj rajon,Zaporizka oblast,Ukraine,N47.85240506049763,E35.186988011076295
Lakeside Memorial Park,,,Miami,,Dade County,Florida,United States,N25.79949,W80.36261
Maimonides Cemetery,,,Brooklyn,,Kings County,New York,United States,N40.6907413370135,W73.87122521621625
Maiselova synagoga,,,Praha,,,Hlavní město Praha,Czechia,N50.08884,E14.41888
Malyy Trostenets extermination camp,,,Malyy Trostenets,,Minski rajon,Minsks voblasts,Belarus,N53.8392,E27.70688
Mass execution & burial site,,,Kalevi-Liiva,,Jõelähtme Parish,Harjumaa,Estonia,N59.48022,E25.25028
Mass grave,,Šķēde,Liepāja,,,,Latvia,N56.59963,E21.02129
Militärseelsorge,,,Vienna,,,Vienna Stadt,Austria,N48.17328755006955,E16.29770339200275
Montefiore Cemetery,,,Queens,,Queens County,New York,United States,N40.68653,W73.74148
Montefiore Hospital,,,Bronx,,Bronx County,New York,United States,N40.88021,W73.88007
Mt. Carmel Cemetery,,,Commerce,,Los Angeles County,California,United States,N33.97444,W118.1438
Mt. Carmel Cemtery,,,Queens,,Queens County,New York,United States,N40.69632,W73.8817
Mt. Judah Cemetery,Cypress Avenue,Ridgewood,Queens,,Queens County,New York,United States,N40.69287,W73.8916
Mt. Laurel Cemetery,,,Burlington,,Burlington County,New Jersey,United States,N39.92719,W74.89756
Mt. Lebanon Cemetery,,Glendale,Queens,,Queens County,New York,United States,N40.69997,W73.87237
Mt. Olivet Cemetery,,,Queens,,Queens County,New York,United States,N40.72036,W73.89679
Mt. Sinai Cemetery,Utica Street,,Winston-Salem,,Forsyth County,North Carolina,United States,N36.04982374523842,W80.22610581508002
Mt. Zion Cemetery,,,Los Angeles,,Los Angeles County,California,United States,N34.02123933622146,W118.1784361453587
Mt. Zion Cemetery,,Maspeth,Queens,,Queens County,New York,United States,N40.73204,W73.907
New Jewish Cemetery (Jaunie ebreju kapi),,,Riga,,,,Latvia,N56.98892,E24.20722
New Montefiore Cemetery,,,West Babylon,,Nassau County,New York,United States,N40.726105916526095,W73.39087468743855
Nikolo-Arkhangelskoye Cemetery,Ulitsa Okol'naya 4,Balashikha,Moscow,,,,Russia,N55.74133946292481,E37.898571313245206
Nový židovský hřbitov v Praze,Izraelská 1,,Praha,,,Hlavní město Praha,Czechia,N50.08051,E14.47713
Old Jewish Cemetery,,,Sušice,,okres Klatovy,Plzeňský kraj,Czechia,N49.23106,E13.52018
Old Montefiore Cemetery,,Springfield Gardens,Queens,,Queens County,New York,United States,N40.68593,W73.74264
Raiņa Park mass execution site,,,Liepāja,,,,Latvia,N56.5195846577608,E21.020758544618552
Randolph Field,,,San Antonio,,Bexar County,Texas,United States,N45.0,W4.0
Royal Palm Cemetery South,,,St. Petersburg,,Pinellas County,Florida,United States,N27.77086,W82.67927
Stadttempel,,,Vienna,,,Vienna Stadt,Austria,N48.21172084890692,E16.374711766880655
Temple Israel Cemetery,225 Richards Avenue,,Norwalk,,Fairfield County,Connecticut,United States,N41.10995,W73.45107
Theresienstadt ghetto,,,Terezín,,okres Litoměřice,Ústecký kraj,Czechia,N50.511,E14.15055
Townsend Harris High School,,Flushing,Queens,,Queens County,New York,United States,N40.75766,W73.91327
Treblinka extermination camp,,Treblinka,Gmina Małkinia Górna,,powiat ostrowski,województwo mazowieckie,Poland,N52.6922,E22.02836
Trumpeldor Cemetery,,,Tel Aviv-Yafo,,,Tel Aviv District,Israel,N32.08088,E34.78057
U.S. District Court SDNY,,,New York,,New York County,New York,United States,N40.71373,W74.00089
US Army,,,,,,,United States,,
Vostryakobskoye cemetery (Востряковское кладбище),,,Moscow,,,,Russia,N55.658741129828186,E37.4428602843318
Waldheim Cemetery,,,Forest Park,,Cook County,Illinois,United States,N41.87948,W87.81367
Washington Cemetery,,,Brooklyn,,Kings County,New York,United States,N40.61947,W73.97539
Washington or Floral Park Cemetery,,,South Brunswick,,Middlesex County,New Jersey,United States,N40.37538,W74.61349
Woodlawn Park North,,,Miami,,Dade County,Florida,United States,N25.77427,W80.19366
Workmen's Circle section of Mt. Moriah Cemetery,,,Fairview,,Bergen County,New Jersey,United States,N40.8126,W73.99903
Zentralfriedhof,,,Vienna,,,Vienna Stadt,Austria,N48.1512513138441,E16.438500470612663
Zion Gardens Cemetery,,,Chicago,,Cook County,Illinois,United States,N41.85003,W87.65005
židovský hřbitov Prudice,,,Jeřice,,okres Tábor,Jihočeský kraj,Czechia,N50.34456,E15.68077
židovský hřbitov Černovice,,,Černovice,,okres Pelhřimov,Vysočina krei,Czechia,N49.38063197784266,E14.959411729132864
židovský hřbitov,,,Straz nad Nezarkou,,okres Jindřichův Hradec,Jihočeský kraj,Czechia,N49.06971,E14.90551
